 ,Label,Area,Mean,Mode,Min,Max,X,Y,XM,YM,Perim.,BX,BY,Width,Height,Major,Minor,Angle,Circ.,AR,Round,Solidity
1,for bkg,117,0,0,0,0,19.218,18.534,19.218,18.534,47.556,16,9,8,19,19.840,7.508,89.699,0.650,2.642,0.378,0.886
2,for bkg,78,0,0,0,0,181.513,13.603,181.513,13.603,35.799,175,10,14,8,13.994,7.097,5.909,0.765,1.972,0.507,0.867
3,for bkg,144,0,0,0,0,166.236,17.250,166.236,17.250,46.042,158,12,16,12,16.030,11.438,12.639,0.854,1.402,0.714,0.926
4,for bkg,588,0,0,0,0,232.092,27.029,232.092,27.029,102.083,214,13,32,29,34.081,21.967,135.498,0.709,1.551,0.645,0.899
5,for bkg,240,0,0,0,0,142.146,26.679,142.146,26.679,57.113,134,17,16,19,18.991,16.091,94.361,0.925,1.180,0.847,0.939
6,for bkg,175,0,0,0,0,115.620,33.111,115.620,33.111,56.527,104,25,20,15,21.159,10.531,28.168,0.688,2.009,0.498,0.891
7,for bkg,74,0,0,0,0,19.608,35.284,19.608,35.284,35.314,16,29,9,11,12.356,7.626,115.060,0.746,1.620,0.617,0.871
8,for bkg,343,0,0,0,0,169.675,40.768,169.675,40.768,72.912,158,30,24,23,26.482,16.491,44.385,0.811,1.606,0.623,0.904
9,for bkg,81,0,0,0,0,370.117,37.377,370.117,37.377,34.142,365,33,11,9,11.845,8.707,35.157,0.873,1.361,0.735,0.915
10,for bkg,144,0,0,0,0,195.153,45.021,195.153,45.021,43.456,188,39,14,13,14.251,12.865,1.002,0.958,1.108,0.903,0.932
11,for bkg,350,0,0,0,0,285.551,52.980,285.551,52.980,73.740,274,40,23,25,24.457,18.221,62.869,0.809,1.342,0.745,0.893
12,for bkg,233,0,0,0,0,218.062,49.998,218.062,49.998,58.527,208,42,19,17,20.212,14.677,158.621,0.855,1.377,0.726,0.926
13,for bkg,650,0,0,0,0,213.183,71.335,213.183,71.335,103.397,199,54,27,35,35.798,23.119,110.258,0.764,1.548,0.646,0.903
14,for bkg,232,0,0,0,0,177.168,64.263,177.168,64.263,55.941,168,56,18,17,17.510,16.870,7.418,0.932,1.038,0.963,0.935
15,for bkg,262,0,0,0,0,94.282,68.454,94.282,68.454,59.598,85,59,19,19,19.253,17.327,61.777,0.927,1.111,0.900,0.931
16,for bkg,404,0,0,0,0,117.876,74.436,117.876,74.436,75.355,107,63,22,23,24.359,21.117,67.024,0.894,1.153,0.867,0.940
17,for bkg,232,0,0,0,0,134.431,80.828,134.431,80.828,59.113,126,71,17,19,18.794,15.718,82.661,0.834,1.196,0.836,0.903
18,for bkg,439,0,0,0,0,320.297,91.890,320.297,91.890,93.983,309,73,24,34,31.543,17.720,69.136,0.625,1.780,0.562,0.845
19,for bkg,242,0,0,0,0,67.103,87.103,67.103,87.103,56.527,58,79,18,17,18.441,16.709,29.457,0.952,1.104,0.906,0.942
20,for bkg,209,0,0,0,0,217.801,102.347,217.801,102.347,55.598,209,93,17,19,18.119,14.687,112.047,0.850,1.234,0.811,0.899
21,for bkg,842,0,0,0,0,196.567,115.030,196.567,115.030,114.125,181,95,33,39,39.927,26.851,60.264,0.812,1.487,0.672,0.925
22,for bkg,395,0,0,0,0,173.333,112.865,173.333,112.865,77.698,165,98,16,29,29.235,17.203,92.161,0.822,1.699,0.588,0.956
23,for bkg,224,0,0,0,0,139.250,112.746,139.250,112.746,56.184,131,103,17,19,17.753,16.065,96.266,0.892,1.105,0.905,0.909
24,for bkg,275,0,0,0,0,53.704,120.751,53.704,120.751,65.355,41,112,23,17,21.494,16.290,16.027,0.809,1.319,0.758,0.900
25,for bkg,238,0,0,0,0,106.231,121.038,106.231,121.038,56.527,98,112,17,18,18.257,16.598,102.917,0.936,1.100,0.909,0.937
26,for bkg,232,0,0,0,0,84.362,121.858,84.362,121.858,55.941,76,113,17,18,17.338,17.038,111.043,0.932,1.018,0.983,0.930
27,for bkg,252,0,0,0,0,244.623,121.052,244.623,121.052,58.770,235,113,20,17,19.467,16.482,169.965,0.917,1.181,0.847,0.928
28,for bkg,234,0,0,0,0,289.880,122.701,289.880,122.701,56.527,281,114,17,18,17.549,16.977,75.266,0.920,1.034,0.967,0.929
29,for bkg,181,0,0,0,0,224.378,123.489,224.378,123.489,49.113,216,116,16,15,15.571,14.801,177.040,0.943,1.052,0.951,0.928
30,for bkg,85,0,0,0,0,158.429,130.100,158.429,130.100,38.627,154,124,10,12,11.511,9.402,125.101,0.716,1.224,0.817,0.817
31,for bkg,365,0,0,0,0,42.905,137.834,42.905,137.834,75.497,32,125,22,26,29.517,15.744,127.783,0.805,1.875,0.533,0.916
32,for bkg,798,0,0,0,0,327.033,142.585,327.033,142.585,112.711,308,126,37,34,41.084,24.731,141.242,0.789,1.661,0.602,0.925
33,for bkg,141,0,0,0,0,243.117,141.535,243.117,141.535,43.941,235,135,15,14,14.349,12.511,145.525,0.918,1.147,0.872,0.907
34,for bkg,300,0,0,0,0,173.207,146.883,173.207,146.883,65.113,163,137,19,20,19.977,19.120,52.874,0.889,1.045,0.957,0.935
35,for bkg,216,0,0,0,0,34.343,150.903,34.343,150.903,56.184,26,141,18,18,18.906,14.547,148.712,0.860,1.300,0.769,0.923
36,for bkg,398,0,0,0,0,233.769,154.058,233.769,154.058,78.912,221,143,26,23,27.995,18.101,147.034,0.803,1.547,0.647,0.897
37,for bkg,176,0,0,0,0,190.193,153.051,190.193,153.051,49.456,183,146,15,15,15.453,14.502,10.613,0.904,1.066,0.938,0.921
38,for bkg,246,0,0,0,0,211.106,155.480,211.106,155.480,57.941,203,146,17,19,18.310,17.106,70.004,0.921,1.070,0.934,0.930
39,for bkg,78,0,0,0,0,145.641,151.308,145.641,151.308,32.385,140,147,11,9,10.719,9.265,175.983,0.935,1.157,0.864,0.912
40,for bkg,256,0,0,0,0,70.395,162.426,70.395,162.426,60.284,62,153,17,19,20.041,16.264,93.214,0.885,1.232,0.812,0.924
