Date,Rochester Employment,Source
1982-12-31, 60400, DandC
1983-12-31, 53400, DandC
1984-12-31, 53200, DandC
1985-12-31, 54200, DandC
1986-12-31, 45530, DandC
1987-12-31, 44750, DandC
1988-12-31, 47000, DandC
1989-12-31, 43000, DandC
1990-12-31, 42200, DandC
1991-12-31, 39600, DandC
1992-12-31, 39300, DandC
1993-12-31, 36800, DandC
1994-12-31, 34000, DandC
1995-12-31, 34000, DandC
1996-12-31, 34400, DandC
1997-12-31, 33300, DandC
1998-12-31, 28100, DandC
1999-12-31, 24600, DandC
2000-12-31, 23900, DandC
2001-12-31, 23300, DandC
2002-12-31, 22000, DandC
2003-12-31, 20600, DandC
2004-12-31, 16300, DandC
2006-12-31, 12500, DandC
2007-05-18,  9879, Bill Lloyd 5/18/2007
2008-07-30,  9688, Dave McKaughlin - data for july 2008
2009-12-31,  7400, DandC 1/30/10
2010-12-10,  7578, Dave McLaughlin - data 1 dec 10
2012-04-27,  4939, Dave McLaughlin - data 27-Apr-2012
2015-09-07,  1770, Dave McLaughlin - data 07-Sep-2015
