blob, ecd, class, max.intrusion, pct.concavity, circularity, aspect.ratio, mean.gray
5, 19.04923, s, 1.18740, 6.50017, 0.92619, 1.15337, 0.00000
6, 10.15541, s, 1.00051, 7.60717, 0.97054, 1.20425, 0.00000
7, 18.81384, s, 1.69118, 8.64080, 0.85446, 1.38868, 0.00000
8, 17.14988, s, 1.03489, 6.06304, 0.93570, 1.14066, 0.00000
10, 25.25654, s, 1.21600, 5.37671, 0.92122, 1.07476, 0.00000
11, 28.98859, s, 1.46535, 5.00929, 0.85786, 1.33708, 0.00000
12, 11.22723, s, 0.94251, 5.48625, 0.97074, 1.26942, 0.00000
13, 17.03815, s, 1.51493, 6.14626, 0.92354, 1.14208, 0.00000
14, 23.88329, s, 1.20139, 5.48385, 0.91530, 1.20734, 0.00000
15, 22.59578, a, 2.10326, 12.23639, 0.65821, 2.49878, 0.00000
16, 25.73100, s, 1.12895, 4.98838, 0.91152, 1.18202, 0.00000
17, 23.26213, s, 1.19883, 4.81759, 0.88143, 1.45068, 0.00000
18, 18.57547, s, 1.12062, 8.32349, 0.88069, 1.34761, 0.00000
20, 14.22832, s, 1.00000, 7.21096, 0.93270, 1.22497, 0.00000
21, 22.90360, s, 1.43869, 5.69946, 0.90591, 1.10584, 0.00000
22, 23.28948, a, 3.03852, 14.87868, 0.69924, 1.80993, 0.00000
23, 18.19457, s, 1.21692, 7.14600, 0.90935, 1.15347, 0.00000
25, 19.18245, s, 1.41594, 6.76934, 0.92174, 1.13124, 0.00000
26, 29.33786, a, 3.15414, 9.96623, 0.78050, 1.48251, 0.00000
28, 21.43920, s, 1.13024, 5.63799, 0.92097, 1.22205, 0.00000
29, 26.34228, s, 1.88262, 5.30278, 0.90667, 1.22458, 0.00000
30, 27.86891, s, 1.13024, 5.63799, 0.60493, 2.74836, 0.00000
31, 4.22201, s, 0.76537, 3.42590, 1.00000, 1.01986, 0.00000
32, 28.56828, a, 5.06788, 13.03563, 0.70927, 1.93591, 0.00000
33, 15.75696, s, 1.17056, 7.42308, 0.93797, 1.14730, 0.00000
34, 27.47783, s, 1.20296, 4.04595, 0.93541, 1.08955, 0.00000
37, 33.88897, a, 3.67285, 10.04969, 0.64832, 2.51688, 0.00000
38, 24.54063, s, 1.20296, 4.04595, 0.78071, 1.74310, 0.00000
39, 17.44432, s, 1.26853, 6.26519, 0.92075, 1.21333, 0.00000
40, 14.58187, s, 1.11014, 6.97100, 0.90927, 1.29054, 0.00000
41, 22.93137, s, 1.21415, 5.07371, 0.88061, 1.37460, 0.00000
42, 22.98683, s, 1.21296, 6.62973, 0.86608, 1.24613, 0.00000
43, 17.62585, s, 1.34168, 7.36487, 0.91333, 1.13768, 0.00000
44, 21.90916, s, 1.35204, 4.88833, 0.90064, 1.28529, 0.00000
45, 28.81236, s, 1.47385, 3.89391, 0.91890, 1.11493, 0.00000
46, 21.96720, s, 1.10996, 5.42770, 0.91405, 1.14859, 0.00000
47, 27.12808, s, 1.30782, 4.48919, 0.91672, 1.05028, 0.00000
49, 14.71226, s, 0.99407, 7.09631, 0.93897, 1.35798, 0.00000
50, 24.51467, a, 2.89086, 8.36400, 0.74454, 2.04163, 0.00000
51, 27.93736, s, 1.42985, 6.11073, 0.86763, 1.35367, 0.00000
52, 26.29390, s, 1.40300, 4.80853, 0.90841, 1.32019, 0.00000
54, 26.58285, s, 1.21770, 4.77075, 0.91606, 1.07320, 0.00000
55, 33.05207, s, 1.55106, 5.30782, 0.83343, 1.56432, 0.00000
56, 18.91508, s, 1.27206, 7.62097, 0.89623, 1.32189, 0.00000
57, 16.54529, s, 1.39970, 7.43847, 0.90871, 1.30704, 0.00000
5, 19.04923, s, 1.18740, 6.50017, 0.92619, 1.15337, 0.00000
6, 10.15541, s, 1.00051, 7.60717, 0.97054, 1.20425, 0.00000
7, 18.81384, s, 1.69118, 8.64080, 0.85446, 1.38868, 0.00000
8, 17.14988, s, 1.03489, 6.06304, 0.93570, 1.14066, 0.00000
10, 25.25654, s, 1.21600, 5.37671, 0.92122, 1.07476, 0.00000
11, 28.98859, s, 1.46535, 5.00929, 0.85786, 1.33708, 0.00000
12, 11.22723, s, 0.94251, 5.48625, 0.97074, 1.26942, 0.00000
13, 17.03815, s, 1.51493, 6.14626, 0.92354, 1.14208, 0.00000
14, 23.88329, s, 1.20139, 5.48385, 0.91530, 1.20734, 0.00000
15, 22.59578, a, 2.10326, 12.23639, 0.65821, 2.49878, 0.00000
16, 25.73100, s, 1.12895, 4.98838, 0.91152, 1.18202, 0.00000
17, 23.26213, s, 1.19883, 4.81759, 0.88143, 1.45068, 0.00000
18, 18.57547, s, 1.12062, 8.32349, 0.88069, 1.34761, 0.00000
20, 14.22832, s, 1.00000, 7.21096, 0.93270, 1.22497, 0.00000
21, 22.90360, s, 1.43869, 5.69946, 0.90591, 1.10584, 0.00000
22, 23.28948, a, 3.03852, 14.87868, 0.69924, 1.80993, 0.00000
23, 18.19457, s, 1.21692, 7.14600, 0.90935, 1.15347, 0.00000
25, 19.18245, s, 1.41594, 6.76934, 0.92174, 1.13124, 0.00000
