ecd.nm, circ, a.r, solidity
44.61, 0.9114, 1.0675, 0.9422
58.16, 0.8880, 1.0520, 0.9401
49.15, 0.8926, 1.0392, 0.9403
51.42, 0.8922, 1.0873, 0.9443
53.79, 0.8903, 1.0728, 0.9401
53.26, 0.8727, 1.0552, 0.9381
54.27, 0.8733, 1.0159, 0.9395
54.42, 0.8359, 1.0642, 0.9231
50.46, 0.9248, 1.0602, 0.9533
50.30, 0.8829, 1.0158, 0.9420
53.26, 0.8795, 1.0712, 0.9430
53.06, 0.8616, 1.0525, 0.9313
61.20, 0.8572, 1.0528, 0.9364
52.72, 0.8900, 1.0445, 0.9452
50.30, 0.8488, 1.0756, 0.9137
55.46, 0.8573, 1.0798, 0.9375
62.13, 0.8833, 1.0803, 0.9429
54.27, 0.8686, 1.1072, 0.9280
52.72, 0.8950, 1.0832, 0.9378
52.37, 0.9129, 1.0311, 0.9488
53.21, 0.8663, 1.0415, 0.9175
52.82, 0.9106, 1.0444, 0.9513
51.63, 0.8651, 1.0532, 0.9293
54.42, 0.8827, 1.0403, 0.9390
43.07, 0.8416, 1.0304, 0.9004
51.42, 0.9100, 1.0231, 0.9426
54.13, 0.8421, 1.0092, 0.9307
54.66, 0.9091, 1.0386, 0.9434
50.15, 0.8273, 1.0907, 0.9184
56.30, 0.8834, 1.0564, 0.9334
52.62, 0.8681, 1.0177, 0.9302
55.88, 0.8658, 1.0719, 0.9318
52.03, 0.8552, 1.0430, 0.9362
50.76, 0.8940, 1.0389, 0.9367
54.66, 0.8631, 1.0844, 0.9395
50.40, 0.8865, 1.0776, 0.9350
56.71, 0.8486, 1.0798, 0.9336
50.25, 0.9064, 1.0410, 0.9400
57.17, 0.8096, 1.1125, 0.9169
52.57, 0.8971, 1.0072, 0.9466
51.12, 0.8717, 1.0211, 0.9212
50.61, 0.8003, 1.0407, 0.9005
54.89, 0.8866, 1.0114, 0.9362
50.35, 0.8921, 1.0237, 0.9340
53.45, 0.9078, 1.0269, 0.9418
56.02, 0.8638, 1.0674, 0.9321
54.23, 0.8718, 1.1303, 0.9340
49.05, 0.8995, 1.0645, 0.9439
51.83, 0.9063, 1.0398, 0.9434
53.50, 0.8924, 1.0597, 0.9435
57.48, 0.8827, 1.0269, 0.9478
56.11, 0.9048, 1.0378, 0.9461
58.20, 0.8637, 1.0582, 0.9354
52.52, 0.8441, 1.0151, 0.9357
52.47, 0.8768, 1.0324, 0.9331
56.75, 0.8757, 1.0158, 0.9358
59.09, 0.8796, 1.1491, 0.9392
56.30, 0.8571, 1.1003, 0.9194
53.99, 0.8754, 1.1755, 0.9265
51.73, 0.8803, 1.0098, 0.9389
55.04, 0.8864, 1.0676, 0.9441
50.40, 0.8692, 1.0548, 0.9332
51.07, 0.8749, 1.0603, 0.9340
