x.lo.l,y.lo.l,x.lo.r,y.lo.r,x.med.l,y.med.l,x.med.r,y.med.r,x.hi.l,y.hi.l,x.hi.r,y.hi.r
-1.83680,7.08094,1.84740,-7.06638,-1.76223,7.08086,1.81145,-7.06647,-1.72819,7.08070,1.73495,-7.06663
-1.83680,7.04410,1.84740,-7.02954,-1.76223,7.04402,1.81145,-7.02963,-1.72819,7.04386,1.73495,-7.02979
-1.83680,7.00726,1.84740,-6.99270,-1.76223,7.00717,1.81145,-6.99279,-1.72819,7.00702,1.73495,-6.99294
-1.83680,6.97042,1.84740,-6.95586,-1.79907,6.97033,1.81145,-6.95594,-1.72819,6.97017,1.73495,-6.95610
-1.83680,6.93358,1.84740,-6.91902,-1.79907,6.93349,1.81145,-6.91910,-1.72819,6.93333,1.73495,-6.91926
-1.87364,6.89673,1.84740,-6.88217,-1.79907,6.89665,1.81145,-6.88226,-1.72819,6.89649,1.73495,-6.88242
-1.87364,6.85989,1.84740,-6.84533,-1.79907,6.85981,1.81145,-6.84542,-1.76504,6.85965,1.73495,-6.84558
-1.87364,6.82305,1.84740,-6.80849,-1.79907,6.82296,1.81145,-6.80858,-1.76504,6.82281,1.73495,-6.80873
-1.87364,6.78621,1.84740,-6.77165,-1.79907,6.78612,1.81145,-6.77173,-1.76504,6.78596,1.73495,-6.77189
-1.87364,6.74937,1.84740,-6.73481,-1.79907,6.74928,1.81145,-6.73489,-1.76504,6.74912,1.73495,-6.73505
-1.87364,6.71252,1.84740,-6.69796,-1.79907,6.71244,1.81145,-6.69805,-1.76504,6.71228,1.73495,-6.69821
-1.87364,6.67568,1.84740,-6.66112,-1.83591,6.67560,1.81145,-6.66121,-1.76504,6.67544,1.73495,-6.66137
-1.87364,6.63884,1.84740,-6.62428,-1.83591,6.63875,1.77461,-6.62437,-1.76504,6.63860,1.73495,-6.62452
-1.87364,6.60200,1.84740,-6.58744,-1.83591,6.60191,1.77461,-6.58752,-1.76504,6.60175,1.73495,-6.58768
-1.91048,6.56516,1.84740,-6.55060,-1.83591,6.56507,1.81145,-6.55068,-1.76504,6.56491,1.73495,-6.55084
-1.91048,6.52831,1.84740,-6.51375,-1.83591,6.52823,1.81145,-6.51384,-1.76504,6.52807,1.73495,-6.51400
-1.91048,6.49147,1.84740,-6.47691,-1.83591,6.49139,1.81145,-6.47700,-1.76504,6.49123,1.73495,-6.47716
-1.91048,6.45463,1.84740,-6.44007,-1.83591,6.45454,1.81145,-6.44016,-1.80188,6.45439,1.73495,-6.44031
-1.91048,6.41779,1.84740,-6.40323,-1.83591,6.41770,1.81145,-6.40331,-1.76504,6.41754,1.73495,-6.40347
-1.91048,6.38095,1.84740,-6.36639,-1.83591,6.38086,1.81145,-6.36647,-1.76504,6.38070,1.73495,-6.36663
-1.91048,6.34410,1.84740,-6.32954,-1.83591,6.34402,1.81145,-6.32963,-1.76504,6.34386,1.73495,-6.32979
-1.91048,6.30726,1.84740,-6.29270,-1.83591,6.30718,1.77461,-6.29279,-1.76504,6.30702,1.73495,-6.29295
-1.91048,6.27042,1.84740,-6.25586,-1.83591,6.27033,1.77461,-6.25595,-1.76504,6.27018,1.73495,-6.25610
-1.91048,6.23358,1.84740,-6.21902,-1.83591,6.23349,1.77461,-6.21910,-1.80188,6.23333,1.73495,-6.21926
-1.91048,6.19674,1.84740,-6.18218,-1.83591,6.19665,1.77461,-6.18226,-1.80188,6.19649,1.73495,-6.18242
-1.91048,6.15989,1.84740,-6.14533,-1.83591,6.15981,1.77461,-6.14542,-1.80188,6.15965,1.73495,-6.14558
-1.91048,6.12305,1.84740,-6.10849,-1.83591,6.12297,1.77461,-6.10858,-1.80188,6.12281,1.73495,-6.10874
-1.91048,6.08621,1.84740,-6.07165,-1.83591,6.08612,1.77461,-6.07174,-1.80188,6.08597,1.73495,-6.07189
-1.91048,6.04937,1.84740,-6.03481,-1.83591,6.04928,1.77461,-6.03489,-1.80188,6.04912,1.73495,-6.03505
