 #  Results from PENEPMA.
 #  Probability of emission of characteristic photons. All in 1/(sr*electron).
 #    P = primary photons (from electron interactions);
 #    C = flourescence from characteristic x rays;
 #    B = flourescence from bremsstrahlung quanta;
 #   TF = C+B, total fluorescence;
 #    T = P+C+B, total intensity;
 #  unc = statistical uncertainty (3 sigma).
 #
 # IZ S0 S1  E (eV)      P            unc       C            unc       B            unc       TF           unc       T            unc
   14 L3 M1  9.4350E+01  4.333914E-05 2.86E-06  6.075382E-10 1.29E-09  2.220121E-08 6.29E-08  2.280874E-08 6.41E-08  4.336195E-05 2.86E-06
   14 L2 M1  9.5040E+01  2.443267E-05 2.15E-06  0.000000E+00 0.00E+00  8.784980E-10 5.89E-10  8.784980E-10 5.89E-10  2.443354E-05 2.15E-06
   47 M1 M2  1.0361E+02  1.622695E-08 1.04E-08  7.228777E-11 2.17E-10  6.264618E-12 1.33E-11  7.855239E-11 2.30E-10  1.630550E-08 1.04E-08
   77 N1 N2  1.0497E+02  9.117880E-09 4.99E-09  0.000000E+00 0.00E+00  1.566176E-11 2.41E-11  1.566176E-11 2.41E-11  9.133542E-09 4.99E-09
   47 M1 M3  1.3527E+02  6.785815E-08 2.12E-08  2.977106E-11 8.93E-11  7.244426E-11 5.12E-11  1.022153E-10 1.41E-10  6.796036E-08 2.12E-08
   14 L1 M3  1.4503E+02  1.969615E-06 6.09E-07  0.000000E+00 0.00E+00  1.524253E-10 2.64E-10  1.524253E-10 2.64E-10  1.969767E-06 6.09E-07
   14 L1 M2  1.5524E+02  1.027383E-06 4.40E-07  0.000000E+00 0.00E+00  6.392105E-11 1.36E-10  6.392105E-11 1.36E-10  1.027447E-06 4.40E-07
   77 N3 N4  1.7403E+02  4.495783E-08 1.11E-08  6.978422E-11 2.09E-10  2.349264E-11 2.95E-11  9.327686E-11 2.39E-10  4.505111E-08 1.11E-08
   47 M3 M4  1.8554E+02  1.335229E-07 2.98E-08  7.228777E-11 2.17E-10  1.255326E-10 6.73E-11  1.978203E-10 2.84E-10  1.337208E-07 2.98E-08
   77 N3 N5  1.8997E+02  5.437926E-07 3.86E-08  2.618508E-09 5.97E-09  6.917659E-10 1.65E-10  3.310274E-09 6.14E-09  5.471028E-07 3.90E-08
   77 N1 N3  1.9077E+02  1.819830E-07 2.23E-08  1.437000E-10 1.93E-10  2.156134E-09 5.95E-09  2.299834E-09 6.14E-09  1.842828E-07 2.31E-08
   47 M3 M5  2.0480E+02  1.276945E-06 9.21E-08  3.056955E-09 6.19E-09  3.403165E-09 6.19E-09  6.460120E-09 1.24E-08  1.283405E-06 9.26E-08
   77 N5 N6  2.2325E+02  5.742500E-08 1.25E-08  9.852421E-11 2.26E-10  7.280376E-11 5.39E-11  1.713280E-10 2.80E-10  5.759633E-08 1.25E-08
   77 N5 N7  2.2652E+02  1.282640E-06 5.92E-08  1.261584E-09 6.92E-10  1.279365E-09 2.26E-10  2.540949E-09 9.18E-10  1.285181E-06 5.92E-08
   47 M2 M4  2.2950E+02  7.954974E-07 7.26E-08  4.625452E-09 8.72E-09  7.852181E-10 1.68E-10  5.410670E-09 8.89E-09  8.009081E-07 7.32E-08
   77 N4 N6  2.3919E+02  7.816123E-07 4.62E-08  4.392726E-10 4.37E-10  8.111040E-10 1.79E-10  1.250377E-09 6.16E-10  7.828627E-07 4.62E-08
   77 N5 O3  2.4292E+02  2.728371E-07 2.73E-08  2.422242E-10 2.97E-10  3.489386E-10 1.17E-10  5.911628E-10 4.14E-10  2.734282E-07 2.73E-08
   77 N4 O2  2.4484E+02  1.819817E-07 2.23E-08  1.683084E-10 3.08E-10  1.806182E-10 8.30E-11  3.489266E-10 3.91E-10  1.823307E-07 2.23E-08
   77 M1 M2  2.4550E+02  1.518846E-09 2.04E-09  0.000000E+00 0.00E+00  0.000000E+00 0.00E+00  0.000000E+00 0.00E+00  1.518846E-09 2.04E-09
   47 L1 L2  2.5530E+02  2.950354E-09 4.43E-09  0.000000E+00 0.00E+00  9.959016E-12 2.11E-11  9.959016E-12 2.11E-11  2.960313E-09 4.43E-09
   77 N4 O3  2.5886E+02  2.977418E-08 9.02E-09  0.000000E+00 0.00E+00  3.737117E-11 3.64E-11  3.737117E-11 3.64E-11  2.981155E-08 9.02E-09
   77 N2 N4  2.5983E+02  7.909025E-07 4.65E-08  3.224864E-09 5.98E-09  4.976752E-09 8.41E-09  8.201616E-09 1.44E-08  7.991041E-07 4.76E-08
   47 M5 N3  3.1341E+02  9.668079E-06 2.54E-07  1.368286E-08 1.38E-08  8.513788E-09 6.18E-09  2.219665E-08 2.00E-08  9.690275E-06 2.55E-07
   47 M4 N2  3.1458E+02  5.825055E-06 1.97E-07  4.409212E-09 6.25E-09  8.120277E-09 8.72E-09  1.252949E-08 1.50E-08  5.837584E-06 1.98E-07
   47 M4 N3  3.1985E+02  9.624323E-07 7.99E-08  4.340487E-09 8.72E-09  6.198780E-10 1.49E-10  4.960365E-09 8.87E-09  9.673927E-07 8.04E-08
   77 N3 O1  3.8541E+02  3.635496E-07 3.16E-08  7.184095E-10 6.05E-10  4.304763E-10 1.30E-10  1.148886E-09 7.35E-10  3.646985E-07 3.16E-08
